original_price,quantity,selling_price,barcode,created_date,floor_id,id,store_id,updated_date,product_name,sku
2690.0,100,3190.0,74680010031.0,2024-10-10 10:21:41,6,15,25,,홀스래디쉬 소스,
195.0,100,695.0,74880020021.0,2024-10-10 10:21:41,6,15,25,,S&B 와사비 43g,
160.0,100,660.0,74880030051.0,2024-10-10 10:21:41,6,15,25,,(G)에스비골드카레 92,
1895.0,100,2395.0,74880030709.0,2024-10-10 10:21:41,6,15,25,,S&B 골든카레 순한맛,
4290.0,100,4790.0,74880030716.0,2024-10-10 10:21:41,6,15,25,,S&B 골든카레 약간매운맛,
4290.0,100,4790.0,74880030723.0,2024-10-10 10:21:41,6,15,25,,S&B 골든카레 매운맛,
1490.0,100,1990.0,74880051018.0,2024-10-10 10:21:41,6,15,25,,S&B 하이라이스,
4480.0,100,4980.0,74880057379.0,2024-10-10 10:21:41,6,15,25,,S&B테이스티카레200g(,
1160.0,100,1660.0,74880057386.0,2024-10-10 10:21:41,6,15,25,,S&B테이스티카레200g(,
667.5,100,1167.5,76397030234.0,2024-10-10 10:21:41,6,15,25,,라코스테냐 살사 매운맛,
1230.0,100,1730.0,76397105116.0,2024-10-10 10:21:41,6,15,25,,라코스테냐할라페뇨,
5480.0,100,5980.0,77330711593.0,2024-10-10 10:21:41,6,15,25,,로얄단스크데니쉬쿠키,
616.6666666666667,100,1116.6666666666667,77377655522.0,2024-10-10 10:21:41,6,15,25,,하우스 생와사비 80g,
1845.0,100,2345.0,77377853058.0,2024-10-10 10:21:41,6,15,25,,농심 하우스바몬드 약간매운맛,
100.0,100,528.75,77377853584.0,2024-10-10 10:21:41,6,15,25,,바몬드카레 순한맛,
276.66666666666663,100,776.6666666666666,77377853614.0,2024-10-10 10:21:41,6,15,25,,바몬드카레 매운맛,
1862.5,100,2362.5,77782024173.0,2024-10-10 10:21:41,6,15,25,,쟌슨빌 베다 위드 체다 소시지,
977.7777777777778,100,1477.7777777777778,78985679009.0,2024-10-10 10:21:41,6,15,25,,데니쉬버터쿠키908g,
3440.0,100,3940.0,79426211499.0,2024-10-10 10:21:41,6,15,25,,리코스나쵸치즈소스,
5980.0,100,6480.0,79426212120.0,2024-10-10 10:21:41,6,15,25,,리코스 나쵸치즈소스,
346.73469387755097,100,846.734693877551,79426261609.0,2024-10-10 10:21:41,6,15,25,,리코스 라운드나쵸칩,
7980.0,100,8480.0,79426285209.0,2024-10-10 10:21:41,6,15,25,,리코스 라운드 나쵸칩,
42500.0,100,43000.0,81584013105.0,2024-10-10 10:21:41,6,15,25,,캔달잭슨 빈트너 샤도네이,
15655.555555555555,100,16155.555555555555,82184042397.0,2024-10-10 10:21:41,6,15,25,,잭다니엘스테네시허니,
50400.0,100,50900.0,82184090473.0,2024-10-10 10:21:41,6,15,25,,잭다니엘,
2390.0,100,2890.0,84380984051.0,2024-10-10 10:21:41,6,15,25,,샹달프딸기쨈170g,
9300.0,100,9800.0,86395095005.0,2024-10-10 10:21:41,6,15,25,,송죽매 750 준마이,
2000.0,100,2500.0,88231418924.0,2024-10-10 10:21:41,6,15,25,,스낵투고 화이트체다,
27500.0,100,28000.0,88586621840.0,2024-10-10 10:21:41,6,15,25,,샤토생미셸 컬럼비아 밸리 리슬링,
3490.0,100,3990.0,400466680004.0,2024-10-10 10:21:41,6,15,25,,건호박,
3490.0,100,3990.0,400466720007.0,2024-10-10 10:21:41,6,15,25,,건가지,
1367.5,100,1867.5,400466730006.0,2024-10-10 10:21:41,6,15,25,,건취나물,
1274.1666666666667,100,1774.1666666666667,400560930005.0,2024-10-10 10:21:41,6,15,25,,깐밤,
3490.0,100,3990.0,430000294923.0,2024-10-10 10:21:41,6,15,25,,무말랭이 (140G),
8490.0,100,8990.0,430000309764.0,2024-10-10 10:21:41,6,15,25,,반건시 (10입),
9490.0,100,9990.0,430000426577.0,2024-10-10 10:21:41,6,15,25,,제주기장,
19400.0,100,19900.0,430000426607.0,2024-10-10 10:21:41,6,15,25,,율무,
12400.0,100,12900.0,430000426621.0,2024-10-10 10:21:41,6,15,25,,차좁쌀,
6490.0,100,6990.0,430000426805.0,2024-10-10 10:21:41,6,15,25,,렌틸콩,
2995.0,100,3495.0,430000427765.0,2024-10-10 10:21:41,6,15,25,,흑미,
1995.0,100,2495.0,430000432134.0,2024-10-10 10:21:41,6,15,25,,보리쌀,
2400.0,100,2900.0,636711600705.0,2024-10-10 10:21:41,6,15,25,,핑크자몽에이드,
